Name,URL,Tags
367. 有效的完全平方数,https://leetcode.cn/problems/valid-perfect-square/description/,二分查找
69. x 的平方根 ,https://leetcode.cn/problems/sqrtx/description/,二分查找
704.二分查找,https://leetcode.cn/problems/binary-search/submissions/524502977/,二分查找
34. 在排序数组中查找元素的第一个和最后一个位置,https://leetcode.cn/problems/find-first-and-last-position-of-element-in-sorted-array/description/,二分查找
35. 搜索插入位置,https://leetcode.cn/problems/search-insert-position/description/,二分查找
定长滑动窗口,,"双指针, 滑动窗口"
76. 最小覆盖子串,https://leetcode.cn/problems/minimum-window-substring/description/,"双指针, 滑动窗口"
904. 水果成篮,https://leetcode.cn/problems/fruit-into-baskets/description/,"双指针, 滑动窗口"
209. 长度最小的子数组,https://leetcode.cn/problems/minimum-size-subarray-sum/description/,"双指针, 滑动窗口"
977. 有序数组的平方,https://leetcode.cn/problems/squares-of-a-sorted-array/submissions/526201083/,双指针
844. 比较含退格的字符串,https://leetcode.cn/problems/backspace-string-compare/description/,双指针
283. 移动零,https://leetcode.cn/problems/move-zeroes/description/,双指针
26. 删除有序数组中的重复项,https://leetcode.cn/problems/remove-duplicates-from-sorted-array/submissions/525956656/,双指针
27. 移除元素,https://leetcode.cn/problems/remove-element/description/,双指针
54. 螺旋矩阵,https://leetcode.cn/problems/spiral-matrix/description/,模拟
59. 螺旋矩阵 II,https://leetcode.cn/problems/spiral-matrix-ii/description/,模拟
142. 环形链表 II,https://leetcode.cn/problems/linked-list-cycle-ii/description/,链表
面试题 02.07. 链表相交,https://leetcode.cn/problems/intersection-of-two-linked-lists-lcci/description/,链表
19. 删除链表的倒数第 N 个结点,https://leetcode.cn/problems/remove-nth-node-from-end-of-list/description/,链表
24. 两两交换链表中的节点,https://leetcode.cn/problems/swap-nodes-in-pairs/description/,链表
206. 反转链表,https://leetcode.cn/problems/reverse-linked-list/description/,"双指针, 链表"
707. 设计链表,https://leetcode.cn/problems/design-linked-list/description/,链表
203. 移除链表元素,https://leetcode.cn/problems/remove-linked-list-elements/description/,链表
c++中优先队列的使用,https://blog.csdn.net/qq_38210354/article/details/107506784,基础库使用
C++中vector和list的差别,,基础库使用
C++中的迭代器使用,,基础库使用
unordered_map,,基础库使用
原地哈希,https://leetcode.cn/problems/first-missing-positive/description/?envType=study-plan-v2&envId=top-100-liked,哈希表
18. 四数之和,https://leetcode.cn/problems/4sum/description/,哈希表
15. 三数之和,https://leetcode.cn/problems/3sum/description/,"双指针, 哈希表"
454. 四数相加 II,https://leetcode.cn/problems/4sum-ii/description/,哈希表
1. 两数之和,https://leetcode.cn/problems/two-sum/description/,"哈希表, 基础库使用"
202. 快乐数,https://leetcode.cn/problems/happy-number/description/,"哈希表, 基础库使用"
350. 两个数组的交集 II,https://leetcode.cn/problems/intersection-of-two-arrays-ii/description/,哈希表
349. 两个数组的交集,https://leetcode.cn/problems/intersection-of-two-arrays/description/,哈希表
438. 找到字符串中所有字母异位词,https://leetcode.cn/problems/find-all-anagrams-in-a-string/description/,哈希表
49. 字母异位词分组,https://leetcode.cn/problems/group-anagrams/description/,哈希表
383. 赎金信,https://leetcode.cn/problems/ransom-note/description/,哈希表
242. 有效的字母异位词,https://leetcode.cn/problems/valid-anagram/description/,哈希表
58. 区间和（第九期模拟笔试）,https://kamacoder.com/problempage.php?pid=1070,前缀和
459.重复的子字符串,https://leetcode.cn/problems/repeated-substring-pattern/,"KMP算法, 字符串"
28. 实现 strStr(),https://leetcode.cn/problems/find-the-index-of-the-first-occurrence-in-a-string/,"KMP算法, 字符串"
右旋字符串,https://kamacoder.com/problempage.php?pid=1065,字符串
151. 反转字符串中的单词,https://leetcode.cn/problems/reverse-words-in-a-string/description/,字符串
54. 替换数字,https://kamacoder.com/problempage.php?pid=1064,字符串
541. 反转字符串II,https://leetcode.cn/problems/reverse-string-ii/,字符串
344. 反转字符串,https://leetcode.cn/problems/reverse-string/description/,字符串
150. 逆波兰表达式求值,https://leetcode.cn/problems/evaluate-reverse-polish-notation/,栈
1047. 删除字符串中的所有相邻重复项,https://leetcode.cn/problems/remove-all-adjacent-duplicates-in-string/description/,栈
20. 有效的括号,https://leetcode.cn/problems/valid-parentheses/description/,栈
C++中栈的使用,,栈
232. 用栈实现队列,https://leetcode.cn/problems/implement-queue-using-stacks/submissions/580271157/,"栈, 队列"
347. 前 K 个高频元素,https://leetcode.cn/problems/top-k-frequent-elements/description/,队列
239. 滑动窗口最大值,https://leetcode.cn/problems/sliding-window-maximum/,队列
C++中队列的使用,,队列
