Name,Tags,URL
704.二分查找,二分查找,https://leetcode.cn/problems/binary-search/submissions/524502977/
34. 在排序数组中查找元素的第一个和最后一个位置,二分查找,https://leetcode.cn/problems/find-first-and-last-position-of-element-in-sorted-array/description/
35. 搜索插入位置,二分查找,https://leetcode.cn/problems/search-insert-position/description/
69. x 的平方根 ,二分查找,https://leetcode.cn/problems/sqrtx/description/
367. 有效的完全平方数,二分查找,https://leetcode.cn/problems/valid-perfect-square/description/
27. 移除元素,双指针,https://leetcode.cn/problems/remove-element/description/
26. 删除有序数组中的重复项,双指针,https://leetcode.cn/problems/remove-duplicates-from-sorted-array/submissions/525956656/
283. 移动零,双指针,https://leetcode.cn/problems/move-zeroes/description/
844. 比较含退格的字符串,双指针,https://leetcode.cn/problems/backspace-string-compare/description/
977. 有序数组的平方,双指针,https://leetcode.cn/problems/squares-of-a-sorted-array/submissions/526201083/
209. 长度最小的子数组,"双指针, 滑动窗口",https://leetcode.cn/problems/minimum-size-subarray-sum/description/
904. 水果成篮,"双指针, 滑动窗口",https://leetcode.cn/problems/fruit-into-baskets/description/
76. 最小覆盖子串,"双指针, 滑动窗口",https://leetcode.cn/problems/minimum-window-substring/description/
59. 螺旋矩阵 II,模拟,https://leetcode.cn/problems/spiral-matrix-ii/description/
54. 螺旋矩阵,模拟,https://leetcode.cn/problems/spiral-matrix/description/
203. 移除链表元素,链表,https://leetcode.cn/problems/remove-linked-list-elements/description/
707. 设计链表,链表,https://leetcode.cn/problems/design-linked-list/description/
206. 反转链表,"双指针, 链表",https://leetcode.cn/problems/reverse-linked-list/description/
24. 两两交换链表中的节点,链表,https://leetcode.cn/problems/swap-nodes-in-pairs/description/
19. 删除链表的倒数第 N 个结点,链表,https://leetcode.cn/problems/remove-nth-node-from-end-of-list/description/
面试题 02.07. 链表相交,链表,https://leetcode.cn/problems/intersection-of-two-linked-lists-lcci/description/
142. 环形链表 II,链表,https://leetcode.cn/problems/linked-list-cycle-ii/description/
unordered_map,基础库使用,
242. 有效的字母异位词,哈希表,https://leetcode.cn/problems/valid-anagram/description/
383. 赎金信,哈希表,https://leetcode.cn/problems/ransom-note/description/
49. 字母异位词分组,哈希表,https://leetcode.cn/problems/group-anagrams/description/
438. 找到字符串中所有字母异位词,哈希表,https://leetcode.cn/problems/find-all-anagrams-in-a-string/description/
349. 两个数组的交集,哈希表,https://leetcode.cn/problems/intersection-of-two-arrays/description/
350. 两个数组的交集 II,哈希表,https://leetcode.cn/problems/intersection-of-two-arrays-ii/description/
202. 快乐数,"哈希表, 基础库使用",https://leetcode.cn/problems/happy-number/description/
1. 两数之和,"哈希表, 基础库使用",https://leetcode.cn/problems/two-sum/description/
454. 四数相加 II,哈希表,https://leetcode.cn/problems/4sum-ii/description/
15. 三数之和,"双指针, 哈希表",https://leetcode.cn/problems/3sum/description/
58. 区间和（第九期模拟笔试）,前缀和,https://kamacoder.com/problempage.php?pid=1070
18. 四数之和,哈希表,https://leetcode.cn/problems/4sum/description/
344. 反转字符串,字符串,https://leetcode.cn/problems/reverse-string/description/
541. 反转字符串II,字符串,https://leetcode.cn/problems/reverse-string-ii/
54. 替换数字,字符串,https://kamacoder.com/problempage.php?pid=1064
151. 反转字符串中的单词,字符串,https://leetcode.cn/problems/reverse-words-in-a-string/description/
右旋字符串,字符串,https://kamacoder.com/problempage.php?pid=1065
28. 实现 strStr(),"KMP算法, 字符串",https://leetcode.cn/problems/find-the-index-of-the-first-occurrence-in-a-string/
459.重复的子字符串,"KMP算法, 字符串",https://leetcode.cn/problems/repeated-substring-pattern/
C++中的迭代器使用,基础库使用,
C++中vector和list的差别,基础库使用,
232. 用栈实现队列,"栈, 队列",https://leetcode.cn/problems/implement-queue-using-stacks/submissions/580271157/
C++中栈的使用,栈,
225. 用队列实现栈,"栈, 队列",https://programmercarl.com/0225.%E7%94%A8%E9%98%9F%E5%88%97%E5%AE%9E%E7%8E%B0%E6%A0%88.html#%E7%AE%97%E6%B3%95%E5%85%AC%E5%BC%80%E8%AF%BE
C++中队列的使用,队列,
20. 有效的括号,栈,https://leetcode.cn/problems/valid-parentheses/description/
1047. 删除字符串中的所有相邻重复项,栈,https://leetcode.cn/problems/remove-all-adjacent-duplicates-in-string/description/
150. 逆波兰表达式求值,栈,https://leetcode.cn/problems/evaluate-reverse-polish-notation/
239. 滑动窗口最大值,队列,https://leetcode.cn/problems/sliding-window-maximum/
347. 前 K 个高频元素,队列,https://leetcode.cn/problems/top-k-frequent-elements/description/
c++中优先队列的使用,基础库使用,https://blog.csdn.net/qq_38210354/article/details/107506784
144. 二叉树的遍历,二叉树,https://leetcode.cn/problems/binary-tree-preorder-traversal/description/
102. 二叉树的层序遍历,二叉树,https://leetcode.cn/problems/binary-tree-level-order-traversal/description/
226. 翻转二叉树,二叉树,https://leetcode.cn/problems/invert-binary-tree/description/
101. 对称二叉树,二叉树,https://leetcode.cn/problems/symmetric-tree/description/
104. 二叉树的最大深度,二叉树,https://leetcode.cn/problems/maximum-depth-of-binary-tree/description/
111. 二叉树的最小深度,二叉树,https://leetcode.cn/problems/minimum-depth-of-binary-tree/description/
222. 完全二叉树的节点个数,二叉树,https://leetcode.cn/problems/count-complete-tree-nodes/description/
110. 平衡二叉树,二叉树,https://leetcode.cn/problems/balanced-binary-tree/description/
257. 二叉树的所有路径,二叉树,https://leetcode.cn/problems/binary-tree-paths/description/
404. 左叶子之和,二叉树,https://leetcode.cn/problems/sum-of-left-leaves/description/
513. 找树左下角的值,二叉树,https://leetcode.cn/problems/find-bottom-left-tree-value/
112. 路径总和,二叉树,https://leetcode.cn/problems/path-sum/description/
106. 从中序与后序遍历序列构造二叉树,二叉树,https://leetcode.cn/problems/construct-binary-tree-from-inorder-and-postorder-traversal/description/
654. 最大二叉树,二叉树,https://leetcode.cn/problems/maximum-binary-tree/description/
617. 合并二叉树,二叉树,https://leetcode.cn/problems/merge-two-binary-trees/
700. 二叉搜索树中的搜索,二叉树,https://leetcode.cn/problems/search-in-a-binary-search-tree/description/
98. 验证二叉搜索树,二叉树,https://leetcode.cn/problems/validate-binary-search-tree/description/
530. 二叉搜索树的最小绝对差,二叉树,https://leetcode.cn/problems/minimum-absolute-difference-in-bst/description/
501. 二叉搜索树中的众数,二叉树,https://leetcode.cn/problems/find-mode-in-binary-search-tree/
236. 二叉树的最近公共祖先,二叉树,https://leetcode.cn/problems/lowest-common-ancestor-of-a-binary-tree/description/
235. 二叉搜索树的最近公共祖先,二叉树,https://leetcode.cn/problems/lowest-common-ancestor-of-a-binary-search-tree/description/
搜索树的插入,二叉树,https://leetcode.cn/problems/insert-into-a-binary-search-tree/
二叉树的删除,二叉树,
669. 修剪二叉搜索树,二叉树,https://leetcode.cn/problems/trim-a-binary-search-tree/description/
108. 将有序数组转换为二叉搜索树,二叉树,https://leetcode.cn/problems/convert-sorted-array-to-binary-search-tree/description/
538. 把二叉搜索树转换为累加树,二叉树,https://leetcode.cn/problems/convert-bst-to-greater-tree/description/
什么是回溯法？,回溯,https://www.bilibili.com/video/BV1cy4y167mM/?vd_source=4f8939477fe394bdd537ca2889fd041f
77. 组合,回溯,https://leetcode.cn/problems/combinations/description/
216. 组合总和 III,回溯,https://leetcode.cn/problems/combination-sum-iii/description/
17. 电话号码的字母组合,回溯,https://leetcode.cn/problems/letter-combinations-of-a-phone-number/description/
39. 组合总和,回溯,https://leetcode.cn/problems/combination-sum/description/
40. 组合总和 II,回溯,https://leetcode.cn/problems/combination-sum-ii/description/
131. 分割回文串,回溯,https://leetcode.cn/problems/palindrome-partitioning/description/
93. 复原 IP 地址,回溯,https://leetcode.cn/problems/restore-ip-addresses/description/
78. 子集,回溯,https://leetcode.cn/problems/subsets/description/
90. 子集 II,回溯,https://leetcode.cn/problems/subsets-ii/description/
491.递增子序列,回溯,https://leetcode.cn/problems/non-decreasing-subsequences/submissions/643577308/
46. 全排列,回溯,https://leetcode.cn/problems/permutations/description/
47. 全排列 II,回溯,https://leetcode.cn/problems/permutations-ii/description/
332. 重新安排行程,回溯,https://leetcode.cn/problems/reconstruct-itinerary/description/
n皇后,回溯,https://leetcode.cn/problems/n-queens/description/
解数独,回溯,https://leetcode.cn/problems/sudoku-solver/
455. 分发饼干,贪心,https://leetcode.cn/problems/assign-cookies/description/
摆动序列,贪心,https://leetcode.cn/problems/wiggle-subsequence/
53. 最大子数组和,贪心,https://leetcode.cn/problems/maximum-subarray/description/
122. 买卖股票的最佳时机 II,贪心,https://leetcode.cn/problems/best-time-to-buy-and-sell-stock-ii/description/
55. 跳跃游戏,贪心,https://leetcode.cn/problems/jump-game/description/
45. 跳跃游戏 II,贪心,https://leetcode.cn/problems/jump-game-ii/description/
1005. K 次取反后最大化的数组和,贪心,https://leetcode.cn/problems/maximize-sum-of-array-after-k-negations/description/
134. 加油站,贪心,https://leetcode.cn/problems/gas-station/description/
135. 分发糖果,贪心,https://leetcode.cn/problems/candy/description/
860. 柠檬水找零,贪心,https://leetcode.cn/problems/lemonade-change/submissions/644577343/
406. 根据身高重建队列,贪心,https://leetcode.cn/problems/queue-reconstruction-by-height/description/
452. 用最少数量的箭引爆气球,贪心,https://leetcode.cn/problems/minimum-number-of-arrows-to-burst-balloons/description/
435. 无重叠区间,贪心,https://leetcode.cn/problems/non-overlapping-intervals/description/
763. 划分字母区间,贪心,https://leetcode.cn/problems/partition-labels/description/
56. 合并区间,贪心,https://leetcode.cn/problems/merge-intervals/
738. 单调递增的数字,贪心,https://leetcode.cn/problems/monotone-increasing-digits/description/
968. 监控二叉树,贪心,https://leetcode.cn/problems/binary-tree-cameras/description/
