公司,文本,日期,网址,选择
同花顺,,,https://campus.10jqka.com.cn/mobile/job/list?recommendCode=GL9341,实习意向
超参数科技,,,https://app.mokahr.com/campus-recruitment/chaocanshu/45562?recommendCode=DScxM6bh#/candidateHome/applications,寄
马上消费,,,https://weikezhijia.jobs.feishu.cn/referral/campus/position/application?token=NTsxNzU0NTU4MTAxODQwOzc1MjUyNjc3MTQ0NjcwMDQ0NDQ7NzUzNTc2MjcxNDk3NjA3ODEyMzsx,口头意向
拼多多,,,https://careers.pddglobalhr.com/campus/personal-center,笔试
minimax,,,加入MiniMax,寄
OPPO,,,https://career.oppo.com/official/oppo/,投递中
蚂蚁,,,https://talent.antgroup.com/campus/home,笔试
vivo,,,https://hr-campus.vivo.com/campus/jobs,寄
小红书,,,https://job.xiaohongshu.com/campus,笔试
快手,简历改错,,https://campus.kuaishou.cn/recruit/campus/e/#/campus/my-apply,投递中
京东,,,https://campus.jd.com/home#/,笔试
招聘信息汇总,,,https://p26lrnthez.feishu.cn/wiki/Fvdnw99rGiVnfYkBkXVck9r9nhe?from=from_copylink,
bilibili,,,https://jobs.bilibili.com/campus/records,投递中
得物,,,https://poizon.jobs.feishu.cn/578078/position/list?keywords=&category=&location=CT_52%2CCT_125&project=&type=&job_hot_flag=&current=3&limit=10&functionCategory=7287150094318242103%2C7287149935865579813&tag=&share_token=MzsxNzU0NDkyMDk2MDkyOzc0Nzc1NTczMTI0NDczODM4MjA7MDsxLzI,笔试
携程,,,https://campus.ctrip.com/campus-recruitment/trip/37757/#/jobs?project%5B0%5D=100100826&page=1&anchorName=jobsList&zhineng%5B0%5D=180018&zhineng%5B1%5D=108615&zhineng%5B2%5D=108616&zhineng%5B3%5D=110415&zhineng%5B4%5D=116591,hr面
网易互娱,,,https://campus.game.163.com/personal,笔试
网易雷火,,,https://campus.163.com/app/personal/apply?tab=leihuo,二面
美团,,,https://zhaopin.meituan.com/web/personalCenter/deliveryRecord,寄
饿了么,,,https://talent.ele.me/?lang=zh,一面
高德,,,https://talent.amap.com/?lang=zh,投递中
百度,,,https://talent.baidu.com/jobs/center,笔试
阿里云,,,https://careers.aliyun.com/campus/home?lang=zh,寄
淘天集团,,,https://talent.taotian.com/,笔试
虎鲸,,,https://jobs.hujing-dme.com/?lang=zh,投递中
菜鸟,,,https://talent.cainiao.com/personal/campus-resume?campusType=freshman&cartIds=100000566605&batchId=4000000250,笔试
钉钉,,,https://talent.dingtalk.com/?lang=zh,一面
猿辅导,,,https://hr.yuanfudao.com/campus-recruitment/fenbi/47742/#/candidateHome/applications,投递中
滴滴,,,https://app.mokahr.com/campus_apply/didiglobal/96064?recommendCode=DStMhdbS#/,笔试
科大讯飞,,,https://campus.iflytek.com/official-pc/delivery,一面
米哈游,,,https://jobs.mihoyo.com/?isRecommendation=true&recommendationCode=NTAEVIP#/campus/applyRecord,投递中
联想,,,https://talent.lenovo.com.cn/account/resume,寄
qq音乐,,,https://join.tencentmusic.com/deliver,投递中
理想,,,https://www.lixiang.com/employ/archives.html?fromJob=1,笔试
宇树科技,,,https://www.unitree.com/cn/position/1692021510983647232,投递中
美的,,,https://careers.midea.com/recruit-school-out/post/details?projectRuleId=65887882-8def-4b50-b0fa-39c5280a2cab&positionId=8a5ed783986f9c7001989e84e8cd0f5a&recruitCategoryId=56293ba92698407a82d4649b4753d158&projectType=1,笔试
小米,,,https://xiaomi.jobs.f.mioffice.cn/campus/position/application?spread=J7NS6YR,二面
荣耀,,,https://career.honor.com/SU60eea919bef57c1023f6fe78/pb/account.html#/myDeliver,投递中
TP LINK,,,https://hr.tp-link.com.cn/deliver,一面
虾皮,,,https://app.mokahr.com/campus-recruitment/shopee/2962#/candidateHome/applications,笔试
贝壳,,,https://campus.ke.com/personal/deliveryRecord,投递中
boss直聘,,,https://www.zhipin.com/campus/pc/,hr面
字节,,,https://jobs.bytedance.com/campus/position/application,二面
去哪儿,,,https://app.mokahr.com/campus-recruitment/qunar/37595#/candidateHome/applications,投递中
度小满,,,https://campus.duxiaoman.com/051736,三面
